"region_id","score","dimension","matrix","scen_year"
"BHI-001",0.920304629568691,"status","combined",2020
"BHI-002",0.920304629568691,"status","combined",2020
"BHI-003",0.492005985152101,"status","combined",2020
"BHI-005",0.57455633957648,"status","combined",2020
"BHI-006",0.57455633957648,"status","combined",2020
"BHI-011",0.857169462129042,"status","combined",2020
"BHI-012",0.857169462129042,"status","combined",2020
"BHI-013",0.857169462129042,"status","combined",2020
"BHI-014",0.747124448423978,"status","combined",2020
"BHI-015",0.747124448423978,"status","combined",2020
"BHI-016",0.747124448423978,"status","combined",2020
"BHI-017",0.747124448423978,"status","combined",2020
"BHI-020",0.610038065899132,"status","combined",2020
"BHI-021",0.610038065899132,"status","combined",2020
"BHI-022",0.610038065899132,"status","combined",2020
"BHI-023",0.610038065899132,"status","combined",2020
"BHI-024",0.610038065899132,"status","combined",2020
"BHI-025",0.610038065899132,"status","combined",2020
"BHI-026",0.655089536366271,"status","combined",2020
"BHI-027",0.442956476950811,"status","combined",2020
"BHI-028",0.442956476950811,"status","combined",2020
"BHI-029",0.696945151148338,"status","combined",2020
"BHI-030",0.696945151148338,"status","combined",2020
"BHI-031",0.696945151148338,"status","combined",2020
"BHI-032",1,"status","combined",2020
"BHI-033",1,"status","combined",2020
"BHI-034",1,"status","combined",2020
"BHI-035",0.683913237433273,"status","combined",2020
"BHI-036",0.683913237433273,"status","combined",2020
"BHI-037",0.722256344955292,"status","combined",2020
"BHI-038",0.722256344955292,"status","combined",2020
"BHI-039",1,"status","combined",2020
"BHI-040",1,"status","combined",2020
"BHI-041",0.665695683453144,"status","combined",2020
"BHI-042",0.665695683453144,"status","combined",2020
"BHI-007",NA,"status","combined",2020
"BHI-008",NA,"status","combined",2020
"BHI-009",NA,"status","combined",2020
"BHI-010",NA,"status","combined",2020
"BHI-018",NA,"status","combined",2020
"BHI-019",NA,"status","combined",2020
"BHI-043",NA,"status","combined",2020
"BHI-001",0.141,"trend","combined",2020
"BHI-002",0.141,"trend","combined",2020
"BHI-003",-1,"trend","combined",2020
"BHI-011",0.493,"trend","combined",2020
"BHI-012",0.493,"trend","combined",2020
"BHI-013",0.493,"trend","combined",2020
"BHI-014",0.031,"trend","combined",2020
"BHI-015",0.031,"trend","combined",2020
"BHI-016",0.031,"trend","combined",2020
"BHI-017",0.031,"trend","combined",2020
