"region_id","score","dimension","indicator","scen_year"
"BHI-001",92.58,"status","chla",2020
"BHI-002",92.58,"status","chla",2020
"BHI-003",79.69,"status","chla",2020
"BHI-005",47.48,"status","chla",2020
"BHI-006",47.48,"status","chla",2020
"BHI-007",97.66,"status","chla",2020
"BHI-008",97.66,"status","chla",2020
"BHI-009",71.04,"status","chla",2020
"BHI-010",71.04,"status","chla",2020
"BHI-011",62.68,"status","chla",2020
"BHI-012",62.68,"status","chla",2020
"BHI-013",62.68,"status","chla",2020
"BHI-014",76.73,"status","chla",2020
"BHI-015",76.73,"status","chla",2020
"BHI-016",76.73,"status","chla",2020
"BHI-017",76.73,"status","chla",2020
"BHI-018",95.48,"status","chla",2020
"BHI-019",95.48,"status","chla",2020
"BHI-020",60.77,"status","chla",2020
"BHI-021",60.77,"status","chla",2020
"BHI-022",60.77,"status","chla",2020
"BHI-023",60.77,"status","chla",2020
"BHI-024",60.77,"status","chla",2020
"BHI-025",60.77,"status","chla",2020
"BHI-026",33.73,"status","chla",2020
"BHI-027",61.3,"status","chla",2020
"BHI-028",61.3,"status","chla",2020
"BHI-029",42.5,"status","chla",2020
"BHI-030",42.5,"status","chla",2020
"BHI-031",42.5,"status","chla",2020
"BHI-032",45.71,"status","chla",2020
"BHI-033",45.71,"status","chla",2020
"BHI-034",45.71,"status","chla",2020
"BHI-035",28.66,"status","chla",2020
"BHI-036",NA,"status","chla",2020
"BHI-037",51.56,"status","chla",2020
"BHI-038",51.56,"status","chla",2020
"BHI-039",57.99,"status","chla",2020
"BHI-040",57.99,"status","chla",2020
"BHI-041",63.31,"status","chla",2020
"BHI-042",63.31,"status","chla",2020
"BHI-043",NA,"status","chla",2020
"BHI-001",-0.067,"trend","chla",2020
"BHI-002",-0.067,"trend","chla",2020
"BHI-003",0.252,"trend","chla",2020
"BHI-005",-0.365,"trend","chla",2020
"BHI-006",-0.365,"trend","chla",2020
"BHI-007",0.398,"trend","chla",2020
"BHI-008",0.398,"trend","chla",2020
"BHI-009",0.146,"trend","chla",2020
"BHI-010",0.146,"trend","chla",2020
"BHI-011",-0.281,"trend","chla",2020
"BHI-012",-0.281,"trend","chla",2020
"BHI-013",-0.281,"trend","chla",2020
"BHI-014",0.069,"trend","chla",2020
"BHI-015",0.069,"trend","chla",2020
"BHI-016",0.069,"trend","chla",2020
"BHI-017",0.069,"trend","chla",2020
"BHI-018",0.345,"trend","chla",2020
"BHI-019",0.345,"trend","chla",2020
"BHI-020",-0.225,"trend","chla",2020
"BHI-021",-0.225,"trend","chla",2020
